Country,Region,Year,Adult_mortality,Alcohol_consumption,BMI,Incidents_HIV,Population_mln,Schooling,Life_expectancy,Avg_Immunization,Adult_to_Infant_Mortality_Ratio,GDP_per_capita_log,Thinness_children_adolescents,Child_deaths,Economic_Status_Developing
Uzbekistan,Asia,2013,145.432,1.95,26.4,0.14,30.24,11.3,70.4,99.0,6.925333333333333,7.81923445385907,3.05,42.5,True
Greece,European Union,2014,71.3785,7.06,27.1,0.07,10.89,10.5,81.4,94.25,15.186914893617022,9.798182590890704,0.75,8.0,False
Serbia,Rest of Europe,2008,134.1205,9.59,25.7,0.02,7.35,10.4,73.9,95.0,16.977278481012657,8.570165076182343,2.3499999999999996,14.9,True
Mauritania,Africa,2014,205.0555,0.0,24.8,0.14,3.93,4.3,63.7,78.25,3.5848863636363633,7.306531398939505,7.85,141.3,True
Bolivia,South America,2002,231.344,2.24,24.9,0.21,8.74,7.2,63.6,78.25,4.5008560311284045,7.633853559681768,1.35,117.6,True
Rwanda,Africa,2011,233.744,6.66,21.7,0.86,10.29,3.8,64.5,93.5,5.618846153846154,6.448889394146858,6.25,99.2,True
Lebanon,Middle East,2006,77.1425,1.65,26.8,0.03,4.76,7.6,77.3,69.0,6.323155737704918,8.807621489536043,4.65,24.2,True
Turkiye,Middle East,2012,111.4545,1.47,27.6,0.08,74.65,7.5,75.4,89.0,7.6338698630136985,9.168267595554275,4.800000000000001,29.4,True
Jamaica,Central America and Caribbean,2013,134.4545,3.16,27.4,0.54,2.86,9.4,74.0,85.75,8.845690789473684,8.493924564476883,1.75,30.7,True
Moldova,Rest of Europe,2014,172.978,7.4,26.9,0.36,2.86,11.6,71.3,91.5,11.767210884353743,7.908754738783246,2.75,29.7,True
Belgium,European Union,2014,72.379,10.57,26.1,0.08,11.21,11.5,81.3,95.25,16.832325581395352,10.607129470188715,1.0,7.3999999999999995,False
Serbia,Rest of Europe,2014,116.691,7.19,26.0,0.02,7.13,10.7,75.3,92.25,17.416567164179103,8.605936401250625,2.1,12.3,True
India,Asia,2012,185.272,3.04,21.5,0.08,1265.78,5.6,67.5,67.5,4.421766109785203,7.206377291472252,27.25,92.9,True
Nicaragua,Central America and Caribbean,2013,152.7925,3.55,27.0,0.11,6.06,6.4,73.2,94.5,8.04171052631579,7.558516743045645,1.75,39.1,True
Japan,Asia,2011,64.2585,8.41,22.7,0.17,127.83,11.8,82.6,92.0,19.472272727272728,10.404626410712575,1.75,5.5,False
Bahrain,Middle East,2012,69.438,1.72,24.9,0.05,1.3,8.8,76.3,99.0,8.902307692307692,9.961237458077031,6.05,14.8,True
Mauritius,Africa,2003,164.979,4.02,24.7,1.16,1.21,6.8,72.1,94.0,11.14722972972973,8.70334075304372,7.85,29.8,True
Djibouti,Africa,2005,305.088,1.22,23.7,0.67,0.78,3.7,58.0,78.0,4.225595567867036,6.80903930604298,5.85,159.9,True
Poland,European Union,2001,147.2585,7.74,25.5,0.08,38.25,11.1,74.2,96.75,17.123081395348837,8.916237731721479,2.6,16.4,False
Netherlands,European Union,2008,67.9805,9.51,25.4,0.06,16.45,12.0,80.3,93.75,13.596100000000002,10.73509147624309,0.95,8.7,False
Sweden,European Union,2003,67.2,6.88,25.4,0.08,8.96,11.8,80.1,88.25,16.0,10.67350317735265,1.3,7.1,False
Lebanon,Middle East,2014,61.5415,1.18,27.5,0.04,6.26,8.4,78.7,76.5,7.326369047619047,8.979542601725113,4.85,16.0,True
Finland,European Union,2012,79.341,9.27,26.0,0.08,5.41,12.4,80.6,94.5,24.042727272727273,10.683683609382596,0.8500000000000001,5.1,False
Belarus,Rest of Europe,2004,245.7875,12.08,26.0,0.12,9.73,9.2,69.0,98.75,29.612951807228914,8.167068178341237,2.45,16.7,True
Czechia,European Union,2013,88.7525,12.54,27.0,0.08,10.51,12.6,78.2,98.75,25.357857142857142,9.716856724154075,1.85,5.6,False
Bhutan,Asia,2009,230.9395,0.15,23.2,0.15,0.68,2.3,67.9,89.5,6.2416081081081085,7.610357618312838,17.15,80.9,True
Equatorial Guinea,Africa,2001,332.218,6.79,22.7,3.44,0.63,5.4,53.6,47.0,3.1519734345351043,8.851377097519439,1.5,255.8,True
Montenegro,Rest of Europe,2002,138.1465,10.24,25.4,0.02,0.61,10.3,73.2,92.5,11.140846774193548,8.41847721847708,2.5,24.3,True
Albania,Rest of Europe,2011,80.349,5.03,26.2,0.03,2.91,9.3,76.9,99.0,6.809237288135593,8.210396255104774,1.45,22.9,True
Kuwait,Middle East,2005,81.8995,0.013,28.7,0.13,2.27,5.8,73.5,93.5,7.583287037037037,10.592902778006396,3.1500000000000004,21.200000000000003,True
"Gambia, The",Africa,2001,298.2375,3.28,22.1,1.71,1.36,2.1,56.4,81.75,4.905222039473685,6.617402977974478,1.0,168.5,True
Kiribati,Oceania,2015,198.449,0.35,30.0,0.17,0.11,7.9,67.3,79.0,4.342428884026258,7.336936913707618,0.1,102.30000000000001,True
Burundi,Africa,2012,306.3965,4.33,21.4,0.4,9.25,2.7,58.6,86.75,5.632288602941177,5.768320995793772,7.5,133.7,True
"Micronesia, Fed. Sts.",Oceania,2006,175.731,1.73,29.1,0.17,0.11,6.3,65.7,74.25,5.956983050847457,8.02059914989697,0.2,63.1,True
Angola,Africa,2007,297.0245,4.68,22.5,1.45,20.91,4.5,52.2,63.25,3.2426255458515283,7.953669778649798,9.6,237.6,True
Israel,Middle East,2008,64.414,2.59,26.8,0.08,7.31,12.6,81.0,94.5,13.145714285714286,10.364671149400635,1.1,8.8,False
El Salvador,Central America and Caribbean,2013,187.4335,2.35,27.4,0.19,6.27,6.6,71.9,90.25,12.171006493506495,8.18646442942209,1.6,31.200000000000003,True
Montenegro,Rest of Europe,2006,128.5365,10.38,25.8,0.03,0.62,10.7,73.8,91.5,13.67409574468085,8.600982717145921,2.2,18.1,True
El Salvador,Central America and Caribbean,2007,203.491,2.73,26.8,0.27,6.11,5.8,70.5,95.75,10.073811881188119,8.104401307921613,1.75,41.8,True
United States,North America,2012,104.536,8.85,28.6,0.13,313.88,13.3,78.7,90.75,14.933714285714286,10.900694456656394,0.6499999999999999,13.1,False
Bulgaria,European Union,2006,156.0375,10.18,25.7,0.02,7.6,10.4,72.6,95.0,13.80862831858407,8.635864721133736,2.2,22.700000000000003,False
Brazil,South America,2015,144.3625,6.63,26.5,0.24,204.47,7.6,75.0,92.5,9.497532894736842,9.08421009483197,2.6500000000000004,30.1,True
Spain,European Union,2013,59.454,8.55,26.0,0.09,46.62,9.5,83.1,94.5,15.64578947368421,10.100779820259904,0.55,6.3,False
Guyana,South America,2015,209.372,5.48,26.3,0.59,0.77,8.4,69.3,94.25,7.372253521126761,8.626585568187433,5.4,60.5,True
Oman,Middle East,2001,126.257,0.54,25.5,0.05,2.29,5.6,72.6,99.0,8.829160839160838,9.966321496707495,7.0,28.700000000000003,True
Dominican Republic,Central America and Caribbean,2012,165.809,5.49,26.1,0.46,9.93,7.5,72.5,81.75,5.5640604026845635,8.694502206386648,3.25,63.8,True
Angola,Africa,2006,307.785,4.02,22.4,1.48,20.15,4.5,51.1,43.25,3.1828852119958637,7.859413154693583,9.75,252.10000000000002,True
Cambodia,Asia,2000,259.469,0.6,20.7,0.81,12.16,3.2,58.4,63.25,3.2352743142144638,6.1903154058531475,11.75,185.5,True
Ghana,Africa,2005,279.54,0.56,23.2,1.31,21.81,6.4,58.7,77.0,5.000715563506262,7.0707241072602764,8.1,137.9,True
Canada,North America,2001,79.395,7.6,26.4,0.1,31.02,11.2,79.3,68.75,12.602380952380953,10.440799301537945,0.45,11.5,False
Japan,Asia,2000,72.954,7.96,22.5,0.17,126.84,10.7,81.1,88.0,16.966046511627905,10.355581761238296,1.5,7.8,False
Brazil,South America,2007,161.982,6.91,25.5,0.25,190.13,6.5,72.6,86.5,7.9015609756097565,8.97941663334301,3.05,41.3,True
Saudi Arabia,Middle East,2002,105.2955,0.056,27.6,0.13,21.81,7.0,72.9,95.75,5.948898305084747,9.686326072899465,7.3,36.3,True
Mongolia,Asia,2011,225.0725,6.65,25.6,0.02,2.77,9.8,67.8,98.75,10.420023148148147,8.015987811027237,2.25,45.0,True
Dominican Republic,Central America and Caribbean,2011,167.619,5.47,26.0,0.49,9.81,7.4,72.3,82.75,5.624798657718121,8.67965211911394,3.25,63.8,True
Brazil,South America,2014,146.3165,6.91,26.3,0.24,202.76,7.4,74.7,93.5,9.379262820512821,9.128696382935672,2.7,30.9,True
Ukraine,Rest of Europe,2013,201.674,8.73,26.4,0.24,45.49,11.3,71.2,62.0,20.578979591836735,7.810758116529357,2.3499999999999996,19.0,True
Poland,European Union,2013,119.573,10.8,26.4,0.08,38.04,12.1,77.0,95.75,21.740545454545455,9.363662136919832,2.05,9.7,False
Ukraine,Rest of Europe,2009,230.8795,8.97,26.2,0.3,46.05,11.3,69.2,69.75,19.903405172413795,7.703459047867175,2.55,22.9,True
Costa Rica,Central America and Caribbean,2003,96.955,4.05,26.1,0.14,4.16,7.9,77.9,87.0,8.81409090909091,9.0068768914288,2.1500000000000004,21.8,True
El Salvador,Central America and Caribbean,2000,220.1275,2.65,26.0,0.41,5.89,5.2,68.9,93.75,7.7509683098591555,8.004365564979574,2.05,60.6,True
Chad,Africa,2014,365.883,0.68,21.8,0.42,13.66,2.2,52.8,45.5,4.672835249042145,6.660575149839686,8.6,209.60000000000002,True
Tonga,Oceania,2007,147.075,2.05,31.7,0.17,0.1,9.8,69.9,93.0,11.313461538461537,8.247482004285693,0.1,26.0,True
Somalia,Africa,2010,326.1265,0.0,22.8,0.13,12.04,2.1,54.0,50.0,3.3552109053497943,5.6937321388027,6.9,253.60000000000002,True
China,Asia,2015,82.273,5.66,23.7,0.1,1379.86,7.7,75.9,99.0,8.846559139784945,8.989319566042951,3.25,19.0,True
Albania,Rest of Europe,2002,87.182,3.96,25.3,0.02,3.05,9.0,74.6,96.25,3.840616740088106,7.717796211013582,2.05,46.099999999999994,True
Uruguay,South America,2007,115.7035,6.51,26.4,0.2,3.33,8.2,76.3,93.5,9.641958333333333,9.327767788852148,1.55,23.6,True
Russian Federation,Rest of Europe,2006,292.2095,11.83,26.0,0.08,143.05,11.4,66.7,97.75,25.859247787610617,8.981052985901483,2.55,23.1,True
Cyprus,European Union,2010,57.4125,11.33,26.7,0.06,1.11,11.5,79.4,95.5,15.108552631578949,10.16665918330341,0.95,6.199999999999999,False
Eritrea,Africa,2015,255.781,1.03,20.7,0.1,0.35,3.9,64.7,93.25,7.308028571428571,9.106312301552135,8.3,80.3,True
Panama,Central America and Caribbean,2002,124.3705,4.94,25.8,0.4,3.15,8.7,75.4,96.0,5.679018264840184,8.836664586357426,2.25,45.7,True
"Bahamas, The",Central America and Caribbean,2001,187.537,11.38,26.8,0.9,0.3,10.9,72.0,92.5,12.502466666666667,10.496234118987427,2.6500000000000004,30.4,True
"Yemen, Rep.",Middle East,2007,244.445,0.05,23.0,0.02,21.28,2.2,64.5,83.0,4.7930392156862744,7.846198815497425,13.8,115.6,True
Panama,Central America and Caribbean,2004,124.7005,4.97,26.0,0.4,3.27,8.9,75.7,92.75,5.938119047619048,8.913011922472597,2.1500000000000004,43.5,True
Guinea,Africa,2007,304.0,0.19,22.4,1.03,9.52,1.6,54.9,57.5,3.7810945273631837,6.529418838262226,8.850000000000001,206.0,True
Kuwait,Middle East,2015,58.1365,0.0,29.5,0.13,3.84,7.1,75.1,98.25,6.8395882352941175,10.304643389056194,3.45,16.3,True
Finland,European Union,2002,97.1345,9.25,25.8,0.08,5.2,9.5,78.1,93.25,22.589418604651165,10.580302078475176,0.8500000000000001,7.3999999999999995,False
Croatia,European Union,2007,106.427,11.36,26.3,0.02,4.31,10.1,75.7,96.25,16.893174603174604,9.437555622660446,1.75,11.5,False
St. Lucia,Central America and Caribbean,2004,163.506,12.58,27.6,0.4,0.16,7.4,74.0,89.0,9.7325,9.19023970026918,4.4,34.1,True
Burkina Faso,Africa,2001,325.735,5.53,21.0,0.83,11.94,1.3,50.9,60.25,3.6072535991140646,6.124683390894205,6.5,264.2,True
United States,North America,2009,107.0105,8.67,28.4,0.13,306.77,13.2,78.4,91.5,14.460878378378377,10.858941303591607,0.6499999999999999,13.9,False
Cabo Verde,Africa,2010,133.3605,4.93,24.2,0.26,0.49,5.1,71.1,97.5,5.7731818181818175,8.010359588919783,7.4,48.400000000000006,True
Poland,European Union,2004,142.2675,9.19,25.7,0.08,38.18,11.6,74.8,98.0,18.239423076923078,9.021115038865434,2.45,14.6,False
Canada,North America,2015,65.9695,8.0,26.9,0.1,35.7,13.1,81.9,80.75,11.57359649122807,10.682743619630342,0.55,10.100000000000001,False
Ethiopia,Africa,2005,338.17,0.21,20.1,0.65,76.35,1.9,56.2,54.0,4.796737588652483,5.739792912179234,11.35,178.4,True
"Venezuela, RB",South America,2010,148.2105,7.4,26.6,0.4,28.44,8.9,73.1,78.25,9.44015923566879,9.53430615650521,1.55,31.8,True
Namibia,Africa,2014,328.32,2.59,24.1,4.5,2.27,6.7,61.4,82.0,9.380571428571429,8.472823243680297,8.55,81.9,True
Ukraine,Rest of Europe,2010,213.7115,7.77,26.3,0.28,45.87,11.3,70.3,49.5,19.25328828828829,7.7475968386928855,2.45,21.799999999999997,True
Equatorial Guinea,Africa,2009,332.154,7.2,23.4,4.39,0.9,5.5,55.3,53.0,4.016372430471584,9.674514542898361,9.2,197.0,True
Mongolia,Asia,2010,230.153,7.73,25.4,0.02,2.72,9.5,67.4,95.75,9.963333333333333,7.875119281040293,2.25,48.400000000000006,True
United States,North America,2001,114.2395,8.25,27.7,0.13,284.97,12.7,76.8,89.5,14.2799375,10.79400909251632,0.7,15.3,False
Belarus,Rest of Europe,2002,260.3945,11.78,25.8,0.08,9.87,9.1,68.1,98.75,27.40994736842105,7.976938756959434,2.6,19.4,True
Myanmar,Asia,2011,204.845,1.09,22.2,0.32,50.99,4.3,64.0,73.5,4.267604166666667,6.871091294610546,13.15,108.0,True
Grenada,Central America and Caribbean,2015,141.3,8.2,26.9,0.4,0.11,8.7,72.4,93.0,9.23529411764706,9.115809888129949,3.8,30.5,True
Nigeria,Africa,2002,411.5985,11.09,22.5,1.21,128.6,5.2,46.8,39.5,3.927466603053435,7.430114138561801,13.8,275.3,True
China,Asia,2007,99.551,3.89,22.9,0.1,1317.89,7.0,73.6,92.75,5.787848837209303,8.371010681238156,4.4,36.3,True
"Venezuela, RB",South America,2011,147.169,6.88,26.6,0.4,28.89,9.8,73.1,79.25,9.373821656050957,9.301733800405394,1.55,31.9,True
Antigua and Barbuda,Central America and Caribbean,2009,139.537,7.64,26.0,0.1,0.09,9.3,75.7,97.25,14.385257731958765,9.642317574624458,3.3499999999999996,19.299999999999997,True
Timor-Leste,Oceania,2008,171.0075,0.062,20.5,0.07,1.06,4.0,66.3,75.25,3.0001315789473684,6.928537818164665,11.7,123.7,True
Afghanistan,Asia,2006,271.4905,0.026,22.3,0.02,26.43,2.7,58.8,49.5,3.5911441798941803,5.872117789475416,19.25,178.7,True
Peru,South America,2009,134.0135,5.04,25.9,0.16,28.79,8.4,74.1,80.0,7.791482558139535,8.480529207044645,1.2,37.0,True
Guyana,South America,2011,215.255,5.64,25.9,0.62,0.75,8.2,68.3,90.75,6.9437096774193545,8.53503310954457,5.449999999999999,66.7,True
Senegal,Africa,2010,211.9,0.18,22.7,0.19,12.68,2.4,64.3,71.75,4.8824884792626735,7.048386408721883,1.35,108.1,True
"Egypt, Arab Rep.",Africa,2011,157.823,0.19,28.9,0.13,84.53,6.7,70.5,88.0,6.548672199170125,8.153061946801051,2.9,50.6,True
Angola,Africa,2001,361.129,1.94,21.8,1.36,16.95,4.4,47.1,49.25,3.0296057046979867,7.521859252201629,1.7,316.6,True
Italy,European Union,2014,51.776,7.56,25.6,0.07,60.79,10.1,83.1,92.0,12.944,10.308319126670684,0.6,6.6,False
Slovak Republic,European Union,2011,120.157,10.27,26.1,0.01,5.4,12.1,76.0,98.5,18.205606060606062,9.608512282590205,1.25,12.399999999999999,False
Algeria,Africa,2013,98.739,0.5,25.3,0.03,38.14,7.8,75.7,94.5,4.274415584415585,8.304989580140361,5.85,47.900000000000006,True
United Kingdom,Rest of Europe,2005,79.5075,11.38,26.7,0.08,60.4,12.2,79.0,89.0,13.034016393442622,10.672159558182319,0.6,11.1,False
El Salvador,Central America and Caribbean,2003,213.592,2.91,26.4,0.35,5.99,5.7,69.7,89.5,8.718040816326532,8.026496938945412,1.95,51.6,True
Cameroon,Africa,2009,365.4865,5.72,23.9,2.13,19.79,5.2,54.6,75.75,5.069160887656033,7.129297548929373,6.3,185.39999999999998,True
Albania,Rest of Europe,2015,75.205,4.33,26.6,0.03,2.88,9.7,78.0,98.75,7.916315789473684,8.282483003730562,1.25,18.1,True
Cameroon,Africa,2014,345.615,4.7,24.2,1.24,22.68,6.0,57.1,80.5,5.712644628099174,7.20414929203594,5.7,151.9,True
Lesotho,Africa,2015,513.4755,3.07,24.9,10.0,2.06,6.1,51.0,88.25,6.976569293478262,7.044905117129371,5.4,167.2,True
Rwanda,Africa,2004,368.1215,7.83,21.2,2.27,8.68,2.7,53.6,88.5,4.98809620596206,6.054439346269371,7.0,191.39999999999998,True
Switzerland,Rest of Europe,2005,65.1225,10.15,25.0,0.08,7.44,12.0,81.2,86.75,12.287264150943397,11.24877761085195,0.5,9.399999999999999,False
Mozambique,Africa,2010,382.0835,0.79,22.3,3.5,23.53,3.2,52.3,71.25,5.1984149659863945,6.175867270105761,3.6500000000000004,177.4,True
Cambodia,Asia,2002,243.8905,0.75,20.8,0.51,12.64,3.3,60.3,60.0,3.5708711566617866,6.29156913955832,11.7,154.0,True
Liberia,Africa,2006,294.2555,4.06,23.5,3.5,3.33,3.8,56.4,62.0,3.4096813441483196,6.361302477572996,8.1,206.3,True
Suriname,South America,2003,207.3055,4.7,25.6,0.96,0.49,7.7,68.3,62.25,8.00407335907336,8.827174771362785,3.5,53.099999999999994,True
Namibia,Africa,2001,470.342,2.29,23.0,11.07,1.82,5.8,51.4,76.0,10.40579646017699,8.043020885298283,15.3,119.5,True
Uganda,Africa,2013,321.4315,8.12,22.2,2.45,35.69,5.4,59.9,74.5,7.406255760368665,6.71174039505618,5.7,104.69999999999999,True
Nepal,Asia,2008,186.7545,0.2,21.6,0.17,26.67,3.1,66.7,77.75,4.543905109489051,6.516193076042964,17.3,90.9,True
Saudi Arabia,Middle East,2015,87.974,0.0,28.4,0.13,31.72,9.5,74.7,97.25,9.997045454545454,9.934453131793008,7.699999999999999,16.9,True
India,Asia,2015,177.9465,3.0,21.7,0.06,1310.15,6.3,68.6,82.25,4.956727019498607,7.382124365737512,27.0,78.4,True
Czechia,European Union,2012,92.0385,12.83,26.9,0.08,10.51,12.4,78.1,99.0,25.56625,9.717639785965615,1.85,5.800000000000001,False
Luxembourg,European Union,2002,98.426,12.88,25.7,0.07,0.45,10.7,78.0,94.75,22.889767441860467,11.474922410170022,0.95,7.3,False
Cameroon,Africa,2010,362.5215,5.88,24.0,1.87,20.34,5.3,55.1,78.75,5.2086422413793105,7.130098510125578,6.15,178.7,True
Cyprus,European Union,2004,64.721,13.03,26.5,0.04,1.01,10.5,78.5,93.75,12.690392156862746,10.118558608759452,0.95,8.899999999999999,False
Montenegro,Rest of Europe,2009,118.42,10.17,26.0,0.03,0.62,11.0,75.1,91.5,16.221917808219178,8.671629544720656,2.05,13.7,True
Peru,South America,2007,137.505,4.51,25.7,0.18,28.33,8.1,73.5,82.5,7.16171875,8.39840965542627,1.2,41.599999999999994,True
Djibouti,Africa,2002,323.2315,1.11,23.6,1.78,0.75,3.4,57.2,73.5,4.170729032258064,6.674561391814426,6.1,172.6,True
Colombia,South America,2013,142.829,4.32,26.0,0.2,46.5,7.8,76.1,86.25,9.335228758169935,8.677269139262872,2.0,30.900000000000002,True
Indonesia,Asia,2012,181.1225,0.08,22.7,0.2,248.45,7.6,69.9,82.75,6.73317843866171,8.000349495324684,1.45,57.099999999999994,True
South Africa,Africa,2004,501.4985,7.2,26.5,11.64,47.29,8.8,53.4,68.5,9.950367063492063,8.589513852995864,13.8,127.1,True
Lithuania,European Union,2015,165.233,14.2,26.4,0.09,2.9,13.0,74.3,93.0,33.0466,9.5655642636476,2.6,8.9,False
Czechia,European Union,2004,114.2985,13.42,26.6,0.08,10.2,11.6,75.7,97.5,24.318829787234044,9.551871220788255,2.1500000000000004,8.3,False
Italy,European Union,2008,60.1245,7.96,25.7,0.08,58.83,9.5,81.5,92.75,13.360999999999999,10.42022566305372,0.5,7.6,False
New Zealand,Oceania,2011,70.233,9.45,27.7,0.04,4.38,12.0,80.9,92.75,11.7055,10.488965999997278,0.3,11.0,False
Nigeria,Africa,2010,376.179,5.22,23.0,0.75,158.5,5.2,50.9,55.25,4.410070339976553,7.785305182539862,11.25,219.8,True
Thailand,Asia,2010,160.1755,6.19,23.8,0.23,67.2,7.7,74.2,96.75,12.61224409448819,8.549660381553739,8.25,25.299999999999997,True
Bulgaria,European Union,2008,148.4445,10.73,25.8,0.03,7.49,10.5,73.0,95.25,14.137571428571428,8.773539383558166,2.1,20.9,False
Central African Republic,Africa,2004,532.8745,1.6,21.9,3.09,3.96,3.2,44.4,51.25,4.938595922150139,6.131226489483141,9.9,269.4,True
Honduras,Central America and Caribbean,2001,169.61,2.61,24.9,0.43,6.75,4.4,71.0,93.25,5.653666666666667,7.491087593534876,2.7,64.3,True
Haiti,Central America and Caribbean,2008,271.8455,3.49,24.3,0.95,9.65,4.6,59.8,67.5,4.363491171749599,7.200424892944957,4.2,144.5,True
Austria,European Union,2013,67.3475,12.1,25.5,0.08,8.48,11.9,81.1,91.75,16.035119047619045,10.698739956033227,1.9,7.1,False
Dominican Republic,Central America and Caribbean,2000,186.951,6.72,24.9,1.02,8.47,6.4,69.4,75.0,5.597335329341317,8.345217926676428,3.75,72.4,True
Djibouti,Africa,2003,317.1835,0.52,23.6,1.16,0.76,3.5,57.4,76.5,4.190006605019815,6.709304340258298,6.0,168.3,True
Rwanda,Africa,2001,432.824,9.27,21.0,2.9,8.23,2.4,49.9,82.75,4.285386138613862,5.8916442118257715,7.45,267.4,True
Ghana,Africa,2013,251.5445,1.78,23.8,0.88,26.61,6.9,62.1,81.25,5.877207943925234,7.478169694159785,6.5,101.6,True
Malta,European Union,2005,59.577,6.14,27.1,0.08,0.4,9.8,79.3,82.75,8.391126760563381,9.805599051717003,0.7,13.1,False
Chile,South America,2003,103.6575,6.37,26.9,0.14,15.85,9.4,77.1,95.5,11.390934065934067,9.130647603066935,1.0,17.6,True
Saudi Arabia,Middle East,2013,90.265,0.0,28.3,0.13,30.05,9.5,74.4,98.25,9.210714285714285,9.912298620814678,7.55,19.0,True
Colombia,South America,2014,141.448,4.22,26.0,0.19,46.97,8.0,76.3,89.5,9.557297297297298,8.711113884053544,2.0,29.8,True
St. Vincent and the Grenadines,Central America and Caribbean,2007,167.402,6.2,26.3,0.4,0.11,8.1,71.6,95.0,8.49756345177665,8.875566691990551,3.6,39.8,True
Namibia,Africa,2003,495.7265,2.29,23.2,9.74,1.88,5.8,50.6,77.0,11.190214446952597,8.101374671228582,14.25,117.7,True
Togo,Africa,2003,333.358,0.89,22.4,2.13,5.33,4.1,53.9,72.25,4.701805359661495,6.259581464064923,8.75,179.4,True
"Yemen, Rep.",Middle East,2014,223.9525,0.03,23.6,0.03,25.82,3.0,66.1,77.0,4.8265625,7.7336835707759,13.6,104.1,True
Bosnia and Herzegovina,Rest of Europe,2012,100.353,4.83,25.5,0.08,3.6,8.3,76.4,91.25,14.757794117647059,8.34687925374656,2.5,12.5,True
St. Lucia,Central America and Caribbean,2014,138.0705,9.18,29.6,0.4,0.18,8.7,75.4,95.0,6.903525,9.238052810542719,4.3,40.4,True
Maldives,Asia,2002,117.6445,1.82,23.4,0.17,0.29,3.2,71.7,90.75,4.439415094339623,8.829519094780778,14.649999999999999,56.2,True
Armenia,Rest of Europe,2013,128.387,3.92,26.2,0.08,2.9,11.4,74.1,95.75,8.559133333333333,8.133880887949207,2.1,29.6,True
Uganda,Africa,2005,441.99,11.3,21.6,3.78,27.68,4.4,51.7,62.75,6.636486486486487,6.415096959171596,6.5,172.7,True
Cyprus,European Union,2009,58.8095,10.81,26.7,0.05,1.1,11.3,79.2,95.5,14.702375,10.172865624189873,0.95,6.5,False
Afghanistan,Asia,2002,298.8855,0.02,21.9,0.02,22.6,2.3,56.8,37.5,3.463331402085747,5.771441123130016,11.049999999999999,206.39999999999998,True
Tonga,Oceania,2008,145.4525,1.1,31.7,0.17,0.1,10.1,69.9,91.75,11.363476562499999,8.286017468404763,0.1,25.5,True
Zimbabwe,Africa,2003,703.0,1.96,23.4,10.27,11.98,6.8,43.2,68.0,13.677042801556421,7.163946684342547,9.850000000000001,142.0,True
Luxembourg,European Union,2000,100.072,13.21,25.6,0.06,0.44,10.3,77.9,90.25,21.291914893617022,11.435277387878937,1.0,8.2,False
Antigua and Barbuda,Central America and Caribbean,2010,137.808,7.16,26.1,0.1,0.09,9.2,75.8,96.75,14.81806451612903,9.545955098183267,3.3,18.3,True
Burkina Faso,Africa,2004,311.4595,5.51,21.3,0.63,13.03,1.3,52.6,69.75,3.694655990510083,6.198478716492308,1.3,242.8,True
St. Lucia,Central America and Caribbean,2006,154.8585,13.02,28.0,0.4,0.17,7.6,74.3,84.5,9.056052631578947,9.224440496354964,4.35,34.7,True
Solomon Islands,Oceania,2006,190.4555,1.01,25.4,0.17,0.48,4.9,69.5,90.5,7.587868525896414,7.534762657037537,1.3,53.0,True
Turkmenistan,Asia,2015,189.928,3.36,26.4,0.08,5.57,9.8,67.7,99.0,5.078288770053476,8.769351707798972,3.3,78.6,True
Qatar,Middle East,2005,63.957,1.08,28.0,0.05,0.87,8.8,78.3,97.5,6.46030303030303,10.96171178029895,4.65,19.3,True
Nigeria,Africa,2005,397.18,11.24,22.7,1.05,138.87,5.2,48.3,40.75,4.137291666666667,7.575071699507561,12.9,250.0,True
Kenya,Africa,2009,302.9805,1.17,22.8,2.21,40.9,6.1,59.9,73.25,7.318369565217392,7.140453043101158,8.149999999999999,100.3,True
Lesotho,Africa,2008,569.1065,2.91,24.5,14.53,1.99,5.4,43.4,85.5,7.286895006402049,6.870053411798126,7.9,190.1,True
Indonesia,Asia,2004,190.6185,0.054,22.0,0.2,223.29,7.3,67.0,60.75,5.003110236220473,7.6544432264701125,1.9,86.7,True
Vietnam,Asia,2002,137.514,0.82,20.1,0.26,81.53,5.8,73.4,80.25,6.057885462555067,7.16703787691222,15.95,49.099999999999994,True
Bahrain,Middle East,2003,81.7285,2.04,25.4,0.05,0.78,8.4,75.0,97.75,7.638177570093458,10.013999775333557,6.0,21.0,True
Paraguay,South America,2003,164.433,4.49,25.3,0.17,5.63,7.0,71.2,78.25,6.045330882352941,8.247220052745229,2.3499999999999996,57.8,True
Antigua and Barbuda,Central America and Caribbean,2015,130.0025,9.06,26.6,0.2,0.09,9.2,76.5,92.0,17.333666666666666,9.567035315714918,3.3,14.3,True
Burundi,Africa,2000,355.0185,7.17,20.6,1.55,6.38,1.8,49.1,73.75,3.7097021943573667,5.730099782973574,8.95,249.2,True
Fiji,Oceania,2006,207.4675,2.07,26.8,0.05,0.83,9.3,66.4,97.25,9.926674641148326,8.438366410870266,3.9499999999999997,43.3,True
Malawi,Africa,2015,294.858,2.04,22.8,2.59,16.75,4.4,62.0,82.0,7.821167108753315,5.945420608606575,6.300000000000001,90.0,True
Guinea,Africa,2005,318.5825,0.2,22.2,1.15,9.11,1.6,53.2,59.75,3.7524440518256768,6.495265555937008,9.3,218.6,True
Comoros,Africa,2014,229.794,0.13,24.2,0.01,0.76,4.8,63.2,81.5,4.045669014084507,7.138073034044347,6.699999999999999,130.5,True
